EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
70	1	1	60	50	1	10	45	0.366304	
71	1	1	60	40	1	10	45	0.34036	
72	1	1	60	22	1	10	45	0.284685	
73	1	1	60	48	1	9	45	0.338888	
75	1	1	60	41	1	6	45	0.359376	
76	1	1	0	13	4	1	45	0.315981	
77	1	1	60	70	1	10	45	0.451016	
79	1	1	60	17	1	7	45	0.291383	
80	1	1	60	29	1	10	45	0.3423	
81	1	1	60	98	1	2	45	0.497329	
82	1	1	60	46	1	7	45	0.390926	
83	1	1	60	51	1	10	45	0.375947	
84	1	1	60	170	1	1	45	0.68084	
85	1	1	60	85	1	10	45	0.46655	
87	1	1	60	30	1	10	45	0.33924	
88	1	1	60	141	1	3	45	0.600005	
89	1	1	60	51	1	10	45	0.379944	
90	1	1	60	150	1	1	45	0.571828	
91	1	1	60	44	1	8	45	0.390403	
93	1	1	60	192	1	3	45	0.72333	
94	1	1	60	47	1	9	45	0.370075	
95	1	1	0	46	3	9	45	0.389526	
95	2	1	60	46	1	9	45	0.389995	
96	1	1	60	13	1	10	45	0.297583	
97	1	1	60	74	1	8	45	0.417978	
98	1	1	60	60	1	10	45	0.421286	
99	1	1	60	96	1	5	45	0.471315	
101	1	1	60	70	1	9	45	0.430588	
102	1	1	60	25	1	10	45	0.316003	
104	1	1	60	6	1	10	45	0.261378	
105	1	1	60	161	1	1	45	0.652549	
106	1	1	0	185	4	1	45	0.72412	
107	1	1	60	6	1	10	45	0.26286	
108	1	1	0	166	3	1	45	0.630045	
108	2	1	60	166	1	1	45	0.630815	
109	1	1	60	36	1	5	45	0.302015	
110	1	1	60	53	1	10	45	0.364659	
111	1	1	60	29	1	10	45	0.354897	
112	1	1	60	59	1	7	45	0.388349	
113	1	1	60	158	1	6	45	0.663065	
115	1	1	60	62	1	10	45	0.429818	
116	1	1	0	186	3	8	45	0.740106	
116	2	1	60	186	1	8	45	0.741038	
117	1	1	60	46	1	10	45	0.417555	
119	1	1	0	48	3	9	45	0.344241	
119	2	1	60	48	1	9	45	0.345217	
120	1	1	60	186	1	7	45	0.736948	
121	1	1	60	50	1	2	45	0.387154	
122	1	1	60	41	1	4	45	0.361296	
124	1	1	60	105	1	5	45	0.491201	
127	1	1	60	16	1	1	45	0.294902	
128	1	1	60	50	1	10	45	0.382015	
129	1	1	60	22	1	10	45	0.274008	
130	1	1	60	25	1	10	45	0.308682	
133	1	1	60	168	1	1	45	0.670464	
134	1	1	60	1	1	10	45	0.247159	
135	1	1	60	171	1	1	45	0.691848	
137	1	1	60	40	1	10	45	0.348146	
138	1	1	60	50	1	8	45	0.365751	
139	1	1	60	53	1	10	45	0.361226	
140	1	1	60	45	1	7	45	0.388307	
141	1	1	60	33	1	10	45	0.328965	
143	1	1	60	33	1	2	45	0.338464	
144	1	1	60	5	1	10	45	0.262584	
145	1	1	60	35	1	3	45	0.320093	
146	1	1	60	83	1	9	45	0.442227	
147	1	1	60	73	1	2	45	0.437344	
148	1	1	0	21	3	10	45	0.270494	
148	2	1	6.78187	21	2	10	45	0.270612	
148	3	1	53.2181	21	1	10	45	0.271165	
150	1	1	60	81	1	9	45	0.411916	
152	1	1	60	51	1	10	45	0.379677	
153	1	1	60	57	1	2	45	0.370735	
154	1	1	60	46	1	10	45	0.399913	
155	1	1	60	20	1	10	45	0.261603	
156	1	1	60	3	1	10	45	0.266275	
158	1	1	60	79	1	10	45	0.391382	
161	1	1	60	186	1	1	45	0.717091	
162	1	1	60	50	1	1	45	0.383091	
163	1	1	60	123	1	3	45	0.526313	
164	1	1	60	115	1	1	45	0.567001	
165	1	1	60	103	1	10	45	0.462271	
167	1	1	60	38	1	10	45	0.309529	
168	1	1	60	101	1	10	45	0.453486	
169	1	1	60	1	1	10	45	0.243644	
170	1	1	60	12	1	4	45	0.311788	
171	1	1	60	28	1	10	45	0.343336	
172	1	1	60	13	1	1	45	0.309313	
173	1	1	60	50	1	9	45	0.365957	
174	1	1	60	148	1	1	45	0.57	
175	1	1	60	37	1	10	45	0.302203	
176	1	1	10.5332	93	2	10	45	0.493843	
176	2	1	0	93	4	9	45	0.493936	
176	3	1	49.4668	16	1	1	45	0.715637	
177	1	1	60	6	1	10	45	0.263831	
178	1	1	60	172	1	1	45	0.705868	
179	1	1	60	12	1	10	45	0.302343	
180	1	1	0	93	3	9	45	0.494146	
180	2	1	4.94117	93	2	9	45	0.497062	
180	3	1	55.0588	93	1	10	45	0.498076	
181	1	1	60	30	1	10	45	0.336708	
182	1	1	0	31	4	7	45	0.340713	
182	2	1	0	47	4	1	45	0.377834	
185	1	1	60	57	1	4	45	0.375869	
186	1	1	60	152	1	9	45	0.643971	
187	1	1	60	72	1	9	45	0.38742	
189	1	1	60	16	1	10	45	0.273765	
190	1	1	60	38	1	10	45	0.306736	
191	1	1	60	158	1	9	45	0.666911	
192	1	1	60	29	1	10	45	0.33344	
193	1	1	60	3	1	10	45	0.267312	
194	1	1	60	33	1	5	45	0.336452	
195	1	1	60	16	1	7	45	0.279389	
196	1	1	60	69	1	7	45	0.443332	
197	1	1	60	19	1	10	45	0.276436	
198	1	1	60	18	1	10	45	0.278659	
199	1	1	60	163	1	6	45	0.630317	
EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
0	1	1	10.6032	96	2	10	45	0.307299	
0	2	1	0	96	4	10	45	0.307513	
1	1	1	60	46	1	10	45	0.257978	
2	1	1	60	107	1	10	45	0.347993	
3	1	1	60	17	1	10	45	0.249064	
4	1	1	60	19	1	10	45	0.395195	
5	1	1	60	18	1	7	45	0.264949	
6	1	1	60	127	1	5	45	0.435764	
7	1	1	60	152	1	1	45	0.710894	
8	1	1	60	11	1	2	45	0.279412	
9	1	1	60	12	1	2	45	0.315966	
10	1	1	60	78	1	2	45	0.617366	
11	1	1	60	67	1	10	45	0.269861	
13	1	1	60	133	1	5	45	0.442309	
14	1	1	60	119	1	6	45	0.438154	
15	1	1	60	131	1	2	45	0.643035	
16	1	1	60	176	1	6	45	0.675799	
18	1	1	60	39	1	7	45	0.43778	
20	1	1	60	45	1	7	45	0.286385	
21	1	1	60	21	1	10	45	0.425482	
22	1	1	60	86	1	6	45	0.39396	
23	1	1	0	29	4	8	45	0.290363	
23	2	1	60	133	1	2	45	0.683129	
25	1	1	60	153	1	10	45	0.453163	
26	1	1	0	45	3	3	45	0.358423	
26	2	1	60	45	1	3	45	0.358959	
27	1	1	60	65	1	10	45	0.279051	
29	1	1	60	88	1	10	45	0.36462	
30	1	1	60	99	1	7	45	0.346972	
31	1	1	60	74	1	2	45	0.332245	
32	1	1	60	108	1	10	45	0.385778	
33	1	1	60	188	1	1	45	0.670203	
34	1	1	60	114	1	5	45	0.340509	
35	1	1	60	17	1	10	45	0.256363	
36	1	1	60	111	1	10	45	0.331583	
38	1	1	60	30	1	9	45	0.32482	
40	1	1	60	170	1	5	45	0.513356	
41	1	1	60	146	1	9	45	0.486356	
42	1	1	60	185	1	1	45	0.63891	
43	1	1	60	91	1	7	45	0.332571	
44	1	1	7.37835	6	2	10	45	0.421948	
44	2	1	52.6217	6	1	10	45	0.423213	
45	1	1	60	161	1	1	45	0.714015	
46	1	1	60	46	1	10	45	0.257571	
47	1	1	60	97	1	10	45	0.52526	
48	1	1	60	4	1	10	45	0.352329	
49	1	1	60	83	1	10	45	0.289749	
